dataset_id,lab,method,cite
Almoammer2013,Barner,non-titrated,AlmoammerEtAl_2013
Wagner2019,Barner,non-titrated,WagnerChuBarner_2019
Piantadosi2014,Piantadosi,non-titrated,PiantadosiJaraEttingerGibson_2014
Sarnecka2007,Sarnecka,non-titrated,SarneckaEtAl_2007
SarneckaNegen2019,Sarnecka,non-titrated,SarneckaNegen2019
Krajcsi2018,Krajcsi,non-titrated,Krajcsi_2019
Boni20xx_ordered,Piantadosi,non-titrated,Boni_unpublished
Boni20xx_random,Piantadosi,non-titrated,Boni_unpublished
SchneiderBarner_2020,Barner,titrated,SchneiderBarner_2020
SchneiderBarner_20xx,Barner,titrated,SchneiderBarner_20xx
SchneiderEtAl_20xx,Barner,titrated,SchneiderEtAl_20xx
SchneiderYen_20xx,Barner,titrated,SchneiderYen_20xx
BarnerChowYoungE1,Barner,titrated,BarnerChowYoung_2009
BarnerChowYoungE2,Barner,titrated,BarnerChowYoung_2009
BarnerTakasaki2009,Barner,titrated,BarnerLibensonCheungTakasaki_2009
Marusic2016,Barner,non-titrated,MarusicEtAl_2016
