dataset_id,subject_id,language,age_months,KL
Almoammer2013,100212-LM,English,50,0
Almoammer2013,100212-AR,English,46,5
Almoammer2013,100212-BL,English,27,0
Almoammer2013,100210-C1,English,38,2
Almoammer2013,100212-AA,English,25,0
Almoammer2013,100212-A1,English,34,0
Almoammer2013,100312-LM,English,48,5
Almoammer2013,100312-PH,English,46,3
Almoammer2013,100312-RW,English,46,2
Almoammer2013,100312-OF,English,50,2
Almoammer2013,100312-EL,English,55,5
Almoammer2013,100312-CA,English,57,5
Almoammer2013,100312-HG,English,54,5
Almoammer2013,100312-GS,English,51,5
Almoammer2013,100312-QH,English,50,5
Almoammer2013,100312-MK,English,59,5
Almoammer2013,100512-JC,English,47,2
Almoammer2013,100912-TL,English,34,0
Almoammer2013,100912-LB,English,25,0
Almoammer2013,100912-DH,English,28,0
Almoammer2013,100912-AB,English,38,5
Almoammer2013,101012-NS,English,52,5
Almoammer2013,101012-SK,English,38,0
Almoammer2013,101012-AD,English,56,5
Almoammer2013,101012-PL,English,32,0
Almoammer2013,101012-AC,English,59,5
Almoammer2013,101012-LO,English,46,0
Almoammer2013,101012-AW,English,45,5
Almoammer2013,101012-GS,English,44,2
Almoammer2013,100812-WA,English,51,5
Almoammer2013,101112-GA,English,57,5
Almoammer2013,101112-AA,English,43,2
Almoammer2013,101112-AD,English,28,0
Almoammer2013,101112-KW,English,55,5
Almoammer2013,101112-B,English,50,5
Almoammer2013,101112-XD,English,55,5
Almoammer2013,101112-CW,English,48,5
Almoammer2013,101112-AC,English,45,5
Almoammer2013,101212-RB,English,57,5
Almoammer2013,101212-HS,English,39,2
Almoammer2013,101612-TK,English,51,2
Almoammer2013,101612-NR,English,28,0
Almoammer2013,101612-SD,English,55,5
Almoammer2013,101912-NW,English,28,0
Almoammer2013,101912-GW,English,28,0
Almoammer2013,101912-SW,English,28,0
Almoammer2013,101812-S1,English,32,0
Almoammer2013,101812-S2,English,32,0
Almoammer2013,101812-BB,English,39,1
Almoammer2013,102512-JG,English,43,5
Almoammer2013,102512-MH,English,43,4
Almoammer2013,102612-JD,English,29,0
Almoammer2013,102612-LD,English,50,5
Almoammer2013,102612-MN,English,49,5
Almoammer2013,110712-CN,English,39,4
Almoammer2013,110712-JB,English,29,0
Almoammer2013,110712-CM,English,33,1
Almoammer2013,110712-ML,English,33,1
Almoammer2013,110812-SM,English,42,5
Almoammer2013,110612-BP,English,41,5
Almoammer2013,110612-DR,English,26,0
Almoammer2013,110712-MS,English,37,3
Almoammer2013,110512-JF,English,51,5
Almoammer2013,110812-PF,English,40,5
Almoammer2013,110912-AC,English,47,5
Almoammer2013,110912-OV,English,47,5
Almoammer2013,111412-KP,English,32,0
Almoammer2013,111512-JS,English,46,3
Almoammer2013,112612-JG,English,49,5
Almoammer2013,112612-CJ,English,34,2
Almoammer2013,112612-SB,English,31,1
Almoammer2013,112612-DF,English,28,0
Almoammer2013,112612-KJ,English,45,4
Almoammer2013,112612-YM,English,48,5
Almoammer2013,112712-IM,English,28,0
Almoammer2013,112712-DA,English,42,5
Almoammer2013,120312-GB,English,32,0
Wagner2019,011713-GD,English,36,NA
Wagner2019,082112-ET2,English,59,NA
Wagner2019,082112-ET1,English,59,NA
Wagner2019,080312-VW,English,44,NA
Wagner2019,080212-HS,English,37,NA
Wagner2019,080212-TD,English,47,NA
Wagner2019,080212-MF,English,35,NA
Wagner2019,080212-LA,English,38,NA
Wagner2019,080112-SF,English,60,NA
Wagner2019,080112-SL,English,46,NA
Wagner2019,071112-AM,English,60,NA
Wagner2019,070312-EJ,English,52,NA
Wagner2019,070312-MH,English,56,NA
Wagner2019,070312-AB,English,57,NA
Wagner2019,070312-LH,English,59,NA
Wagner2019,070312-KT,English,60,NA
Wagner2019,052412-MT,English,41,NA
Wagner2019,051612-CV,English,57,NA
Wagner2019,051612-GG,English,57,NA
Wagner2019,051612-AG,English,56,NA
Wagner2019,051612-GM,English,60,NA
Wagner2019,050912-MM,English,58,NA
Wagner2019,050912-NM,English,26,NA
Wagner2019,041912-SP,English,52,NA
Wagner2019,040912-ML,English,54,NA
Wagner2019,120711-VC,English,42,NA
Wagner2019,121511-RR,English,52,NA
Wagner2019,121511-JB,English,57,NA
Wagner2019,121511-SM2,English,56,NA
Wagner2019,021512-OI,English,42,NA
Wagner2019,120711-AB,English,44,NA
Wagner2019,120711-AC,English,38,NA
Wagner2019,111912-MC,English,40,NA
Wagner2019,111912-MB,English,46,NA
Wagner2019,111912-PB,English,27,NA
Wagner2019,111912-MA,English,34,NA
Wagner2019,112812-KM,English,40,NA
Wagner2019,112812-AK,English,57,NA
Wagner2019,113012-MB,English,55,NA
Wagner2019,112812-NA,English,56,NA
Wagner2019,020413-DM,English,56,NA
Wagner2019,020413-MY,English,43,NA
Wagner2019,020413-AM,English,54,NA
Wagner2019,020413-LC,English,56,NA
