target_side,point_of_disambiguation,trial_id,dataset_id,lab_trial_id,full_phrase,aoi_region_set_id,full_phrase_language,distractor_id,target_id
r,1024,0,0,SwitchingCues-CN1A-2,NA,NA,eng,16,0
l,1024,1,0,SwitchingCues-CN1A-3,NA,NA,eng,17,1
l,1024,2,0,SwitchingCues-CN1A-4,NA,NA,eng,18,2
r,1024,3,0,SwitchingCues-CN1A-5,NA,NA,eng,19,3
r,1024,4,0,SwitchingCues-CN1A-6,NA,NA,eng,20,4
l,1024,5,0,SwitchingCues-CN1A-7,NA,NA,eng,21,5
r,1024,6,0,SwitchingCues-CN1A-8,NA,NA,eng,22,6
l,1024,7,0,SwitchingCues-CN1A-9,NA,NA,eng,23,7
r,1024,8,0,SwitchingCues-CN1A-10,NA,NA,eng,24,8
r,1024,9,0,SwitchingCues-CN1A-11,NA,NA,eng,25,9
l,1024,10,0,SwitchingCues-CN1A-12,NA,NA,eng,26,10
l,1024,11,0,SwitchingCues-CN1A-13,NA,NA,eng,27,11
r,1024,12,0,SwitchingCues-CN1A-14,NA,NA,eng,28,12
l,1024,13,0,SwitchingCues-CN1A-15,NA,NA,eng,29,13
r,1024,14,0,SwitchingCues-CN1A-16,NA,NA,eng,30,14
l,1024,15,0,SwitchingCues-CN1A-17,NA,NA,eng,31,15
r,1024,16,0,SwitchingCues-NC1A-2,NA,NA,eng,16,0
l,1024,17,0,SwitchingCues-NC1A-3,NA,NA,eng,17,1
l,1024,18,0,SwitchingCues-NC1A-4,NA,NA,eng,18,2
r,1024,19,0,SwitchingCues-NC1A-5,NA,NA,eng,19,3
r,1024,20,0,SwitchingCues-NC1A-6,NA,NA,eng,20,4
l,1024,21,0,SwitchingCues-NC1A-7,NA,NA,eng,21,5
r,1024,22,0,SwitchingCues-NC1A-8,NA,NA,eng,22,6
l,1024,23,0,SwitchingCues-NC1A-9,NA,NA,eng,23,7
r,1024,24,0,SwitchingCues-NC1A-10,NA,NA,eng,24,8
r,1024,25,0,SwitchingCues-NC1A-11,NA,NA,eng,25,9
l,1024,26,0,SwitchingCues-NC1A-12,NA,NA,eng,26,10
