trial_id,administration_id,x,y,t,xy_timepoint_id
0,0,NA,NA,NA,0
1,0,NA,NA,NA,1
2,0,NA,NA,NA,2
3,0,NA,NA,NA,3
4,0,NA,NA,NA,4
5,0,NA,NA,NA,5
6,0,NA,NA,NA,6
7,0,NA,NA,NA,7
8,0,NA,NA,NA,8
9,0,NA,NA,NA,9
10,0,NA,NA,NA,10
11,0,NA,NA,NA,11
12,0,NA,NA,NA,12
13,0,NA,NA,NA,13
14,0,NA,NA,NA,14
15,0,NA,NA,NA,15
16,0,NA,NA,NA,16
17,0,NA,NA,NA,17
18,0,NA,NA,NA,18
19,0,NA,NA,NA,19
20,0,NA,NA,NA,20
21,0,NA,NA,NA,21
22,0,NA,NA,NA,22
23,0,NA,NA,NA,23
24,0,NA,NA,NA,24
25,0,NA,NA,NA,25
26,0,NA,NA,NA,26
27,0,NA,NA,NA,27
28,0,NA,NA,NA,28
29,0,NA,NA,NA,29
30,0,NA,NA,NA,30
31,0,NA,NA,NA,31
32,0,NA,NA,NA,32
33,0,NA,NA,NA,33
34,0,NA,NA,NA,34
35,0,NA,NA,NA,35
36,0,NA,NA,NA,36
37,0,NA,NA,NA,37
38,0,NA,NA,NA,38
39,0,NA,NA,NA,39
40,0,NA,NA,NA,40
41,0,NA,NA,NA,41
42,0,NA,NA,NA,42
43,0,NA,NA,NA,43
44,0,NA,NA,NA,44
45,0,NA,NA,NA,45
46,0,NA,NA,NA,46
47,0,NA,NA,NA,47
48,0,NA,NA,NA,48
49,0,NA,NA,NA,49
50,0,NA,NA,NA,50
51,0,NA,NA,NA,51
52,0,NA,NA,NA,52
53,0,NA,NA,NA,53
54,0,NA,NA,NA,54
55,0,NA,NA,NA,55
56,0,NA,NA,NA,56
57,0,NA,NA,NA,57
58,0,NA,NA,NA,58
59,0,NA,NA,NA,59
60,0,NA,NA,NA,60
61,0,NA,NA,NA,61
62,0,NA,NA,NA,62
63,0,NA,NA,NA,63
64,0,NA,NA,NA,64
65,0,NA,NA,NA,65
66,0,NA,NA,NA,66
67,0,NA,NA,NA,67
68,0,NA,NA,NA,68
69,0,NA,NA,NA,69
70,0,NA,NA,NA,70
71,0,NA,NA,NA,71
72,0,NA,NA,NA,72
73,0,NA,NA,NA,73
74,0,NA,NA,NA,74
75,0,NA,NA,NA,75
76,0,NA,NA,NA,76
77,0,NA,NA,NA,77
78,0,NA,NA,NA,78
79,0,NA,NA,NA,79
80,0,NA,NA,NA,80
81,0,NA,NA,NA,81
82,0,NA,NA,NA,82
83,0,NA,NA,NA,83
84,0,NA,NA,NA,84
85,0,NA,NA,NA,85
86,0,NA,NA,NA,86
87,0,NA,NA,NA,87
88,0,NA,NA,NA,88
89,0,NA,NA,NA,89
90,0,NA,NA,NA,90
91,0,NA,NA,NA,91
92,0,NA,NA,NA,92
93,0,NA,NA,NA,93
94,0,NA,NA,NA,94
95,0,NA,NA,NA,95
96,0,NA,NA,NA,96
97,0,NA,NA,NA,97
98,0,NA,NA,NA,98
99,0,NA,NA,NA,99
100,0,NA,NA,NA,100
101,0,NA,NA,NA,101
102,0,NA,NA,NA,102
103,0,NA,NA,NA,103
104,0,NA,NA,NA,104
105,0,NA,NA,NA,105
106,0,NA,NA,NA,106
107,0,NA,NA,NA,107
108,0,NA,NA,NA,108
109,0,NA,NA,NA,109
110,0,NA,NA,NA,110
111,0,NA,NA,NA,111
112,0,NA,NA,NA,112
113,0,NA,NA,NA,113
114,0,NA,NA,NA,114
115,0,NA,NA,NA,115
116,0,NA,NA,NA,116
117,0,NA,NA,NA,117
118,0,NA,NA,NA,118
119,0,NA,NA,NA,119
120,0,NA,NA,NA,120
121,0,NA,NA,NA,121
122,0,NA,NA,NA,122
123,0,NA,NA,NA,123
124,0,NA,NA,NA,124
125,0,NA,NA,NA,125
126,0,NA,NA,NA,126
127,0,NA,NA,NA,127
128,0,NA,NA,NA,128
129,0,NA,NA,NA,129
130,0,NA,NA,NA,130
131,0,NA,NA,NA,131
132,0,NA,NA,NA,132
133,0,NA,NA,NA,133
134,0,NA,NA,NA,134
135,0,NA,NA,NA,135
136,0,NA,NA,NA,136
137,0,NA,NA,NA,137
138,0,NA,NA,NA,138
139,0,NA,NA,NA,139
140,0,NA,NA,NA,140
141,0,NA,NA,NA,141
142,0,NA,NA,NA,142
143,0,NA,NA,NA,143
144,0,NA,NA,NA,144
145,0,NA,NA,NA,145
146,0,NA,NA,NA,146
147,0,NA,NA,NA,147
148,0,NA,NA,NA,148
149,0,NA,NA,NA,149
150,0,NA,NA,NA,150
151,0,NA,NA,NA,151
152,0,NA,NA,NA,152
153,0,NA,NA,NA,153
154,0,NA,NA,NA,154
155,0,NA,NA,NA,155
156,0,NA,NA,NA,156
157,0,NA,NA,NA,157
158,0,NA,NA,NA,158
159,0,NA,NA,NA,159
160,0,NA,NA,NA,160
161,0,NA,NA,NA,161
162,0,NA,NA,NA,162
163,0,NA,NA,NA,163
164,0,NA,NA,NA,164
165,0,NA,NA,NA,165
166,0,NA,NA,NA,166
167,0,NA,NA,NA,167
168,0,NA,NA,NA,168
169,0,NA,NA,NA,169
170,0,NA,NA,NA,170
171,0,NA,NA,NA,171
172,0,NA,NA,NA,172
173,0,NA,NA,NA,173
174,0,NA,NA,NA,174
175,0,NA,NA,NA,175
176,0,NA,NA,NA,176
177,0,NA,NA,NA,177
178,0,NA,NA,NA,178
179,0,NA,NA,NA,179
180,0,NA,NA,NA,180
181,0,NA,NA,NA,181
182,0,NA,NA,NA,182
183,0,NA,NA,NA,183
184,0,NA,NA,NA,184
185,0,NA,NA,NA,185
186,0,NA,NA,NA,186
187,0,NA,NA,NA,187
188,0,NA,NA,NA,188
189,0,NA,NA,NA,189
190,0,NA,NA,NA,190
191,0,NA,NA,NA,191
192,0,NA,NA,NA,192
193,0,NA,NA,NA,193
194,0,NA,NA,NA,194
195,0,NA,NA,NA,195
196,0,NA,NA,NA,196
197,0,NA,NA,NA,197
198,0,NA,NA,NA,198
199,0,NA,NA,NA,199
200,0,NA,NA,NA,200
201,0,NA,NA,NA,201
202,0,NA,NA,NA,202
203,0,NA,NA,NA,203
204,0,NA,NA,NA,204
205,0,NA,NA,NA,205
206,0,NA,NA,NA,206
207,0,NA,NA,NA,207
208,0,NA,NA,NA,208
209,0,NA,NA,NA,209
210,0,NA,NA,NA,210
211,0,NA,NA,NA,211
212,0,NA,NA,NA,212
213,0,NA,NA,NA,213
214,0,NA,NA,NA,214
215,0,NA,NA,NA,215
216,0,NA,NA,NA,216
217,0,NA,NA,NA,217
218,0,NA,NA,NA,218
219,0,NA,NA,NA,219
220,0,NA,NA,NA,220
221,0,NA,NA,NA,221
